,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline
0,11.460,3.740,1.820,19.500,107.000,3.180,2.580,0.240,3.580,2.900,0.750,2.810,562.000
1,12.530,5.510,2.640,25.000,96.000,1.790,0.600,0.630,1.100,5.000,0.820,1.690,515.000
2,13.620,4.950,2.350,20.000,92.000,2.000,0.800,0.470,1.020,4.400,0.910,2.050,550.000
3,13.830,1.570,2.620,20.000,115.000,2.950,3.400,0.400,1.720,6.600,1.130,2.570,1130.000
4,13.840,4.120,2.380,19.500,89.000,1.800,0.830,0.480,1.560,9.010,0.570,1.640,480.000
5,13.640,3.100,2.560,15.200,116.000,2.700,3.030,0.170,1.660,5.100,0.960,3.360,845.000
6,13.940,1.730,2.270,17.400,108.000,2.880,3.540,0.320,2.080,8.900,1.120,3.100,1260.000
7,11.640,2.060,2.460,21.600,84.000,1.950,1.690,0.480,1.350,2.800,1.000,2.750,680.000
8,11.030,1.510,2.200,21.500,85.000,2.460,2.170,0.520,2.010,1.900,1.710,2.870,407.000
9,13.280,1.640,2.840,15.500,110.000,2.600,2.680,0.340,1.360,4.600,1.090,2.780,880.000
10,12.340,2.450,2.460,21.000,98.000,2.560,2.110,0.340,1.310,2.800,0.800,3.380,438.000
11,13.240,2.590,2.870,21.000,118.000,2.800,2.690,0.390,1.820,4.320,1.040,2.930,735.000
12,13.400,3.910,2.480,23.000,102.000,1.800,0.750,0.430,1.410,7.300,0.700,1.560,750.000
13,13.510,1.800,2.650,19.000,110.000,2.350,2.530,0.290,1.540,4.200,1.100,2.870,1095.000
14,14.380,1.870,2.380,12.000,102.000,3.300,3.640,0.290,2.960,7.500,1.200,3.000,1547.000
15,13.880,1.890,2.590,15.000,101.000,3.250,3.560,0.170,1.700,5.430,0.880,3.560,1095.000
16,14.120,1.480,2.320,16.800,95.000,2.200,2.430,0.260,1.570,5.000,1.170,2.820,1280.000
17,13.110,1.900,2.750,25.500,116.000,2.200,1.280,0.260,1.560,7.100,0.610,1.330,425.000
18,13.520,3.170,2.720,23.500,97.000,1.550,0.520,0.500,0.550,4.350,0.890,2.060,520.000
19,12.990,1.670,2.600,30.000,139.000,3.300,2.890,0.210,1.960,3.350,1.310,3.500,985.000
20,13.160,3.570,2.150,21.000,102.000,1.500,0.550,0.430,1.300,4.000,0.600,1.680,830.000
21,13.880,5.040,2.230,20.000,80.000,0.980,0.340,0.400,0.680,4.900,0.580,1.330,415.000
22,12.250,4.720,2.540,21.000,89.000,1.380,0.470,0.530,0.800,3.850,0.750,1.270,720.000
23,13.710,1.860,2.360,16.600,101.000,2.610,2.880,0.270,1.690,3.800,1.110,4.000,1035.000
24,12.370,0.940,1.360,10.600,88.000,1.980,0.570,0.280,0.420,1.950,1.050,1.820,520.000
25,11.840,0.890,2.580,18.000,94.000,2.200,2.210,0.220,2.350,3.050,0.790,3.080,520.000
26,12.080,2.080,1.700,17.500,97.000,2.230,2.170,0.260,1.400,3.300,1.270,2.960,710.000
27,12.370,1.130,2.160,19.000,87.000,3.500,3.100,0.190,1.870,4.450,1.220,2.870,420.000
28,13.110,1.010,1.700,15.000,78.000,2.980,3.180,0.260,2.280,5.300,1.120,3.180,502.000
29,12.690,1.530,2.260,20.700,80.000,1.380,1.460,0.580,1.620,3.050,0.960,2.060,495.000
30,12.370,1.210,2.560,18.100,98.000,2.420,2.650,0.370,2.080,4.600,1.190,2.300,678.000
31,11.450,2.400,2.420,20.000,96.000,2.900,2.790,0.320,1.830,3.250,0.800,3.390,625.000
32,12.330,1.100,2.280,16.000,101.000,2.050,1.090,0.630,0.410,3.270,1.250,1.670,680.000
33,14.750,1.730,2.390,11.400,91.000,3.100,3.690,0.430,2.810,5.400,1.250,2.730,1150.000
34,12.220,1.290,1.940,19.000,92.000,2.360,2.040,0.390,2.080,2.700,0.860,3.020,312.000
35,13.480,1.810,2.410,20.500,100.000,2.700,2.980,0.260,1.860,5.100,1.040,3.470,920.000
36,14.370,1.950,2.500,16.800,113.000,3.850,3.490,0.240,2.180,7.800,0.860,3.450,1480.000
37,12.840,2.960,2.610,24.000,101.000,2.320,0.600,0.530,0.810,4.920,0.890,2.150,590.000
38,12.700,3.550,2.360,21.500,106.000,1.700,1.200,0.170,0.840,5.000,0.780,1.290,600.000
39,13.710,5.650,2.450,20.500,95.000,1.680,0.610,0.520,1.060,7.700,0.640,1.740,740.000
40,11.840,2.890,2.230,18.000,112.000,1.720,1.320,0.430,0.950,2.650,0.960,2.520,500.000
41,12.880,2.990,2.400,20.000,104.000,1.300,1.220,0.240,0.830,5.400,0.740,1.420,530.000
42,12.250,1.730,2.120,19.000,80.000,1.650,2.030,0.370,1.630,3.400,1.000,3.170,510.000
43,14.060,2.150,2.610,17.600,121.000,2.600,2.510,0.310,1.250,5.050,1.060,3.580,1295.000
44,13.270,4.280,2.260,20.000,120.000,1.590,0.690,0.430,1.350,10.200,0.590,1.560,835.000
45,12.170,1.450,2.530,19.000,104.000,1.890,1.750,0.450,1.030,2.950,1.450,2.230,355.000
46,13.690,3.260,2.540,20.000,107.000,1.830,0.560,0.500,0.800,5.880,0.960,1.820,680.000
47,12.770,3.430,1.980,16.000,80.000,1.630,1.250,0.430,0.830,3.400,0.700,2.120,372.000
48,13.050,2.050,3.220,25.000,124.000,2.630,2.680,0.470,1.920,3.580,1.130,3.200,830.000
49,13.490,3.590,2.190,19.500,88.000,1.620,0.480,0.580,0.880,5.700,0.810,1.820,580.000
50,13.080,3.900,2.360,21.500,113.000,1.410,1.390,0.340,1.140,9.400,0.570,1.330,550.000
51,13.860,1.510,2.670,25.000,86.000,2.950,2.860,0.210,1.870,3.380,1.360,3.160,410.000
52,14.160,2.510,2.480,20.000,91.000,1.680,0.700,0.440,1.240,9.700,0.620,1.710,660.000
53,12.290,1.610,2.210,20.400,103.000,1.100,1.020,0.370,1.460,3.050,0.906,1.820,870.000
54,12.430,1.530,2.290,21.500,86.000,2.740,3.150,0.390,1.770,3.940,0.690,2.840,352.000
55,14.100,2.160,2.300,18.000,105.000,2.950,3.320,0.220,2.380,5.750,1.250,3.170,1510.000
56,14.230,1.710,2.430,15.600,127.000,2.800,3.060,0.280,2.290,5.640,1.040,3.920,1065.000
57,13.500,3.120,2.620,24.000,123.000,1.400,1.570,0.220,1.250,8.600,0.590,1.300,500.000
58,13.070,1.500,2.100,15.500,98.000,2.400,2.640,0.280,1.370,3.700,1.180,2.690,1020.000
59,11.650,1.670,2.620,26.000,88.000,1.920,1.610,0.400,1.340,2.600,1.360,3.210,562.000
60,13.360,2.560,2.350,20.000,89.000,1.400,0.500,0.370,0.640,5.600,0.700,2.470,780.000
61,13.050,1.650,2.550,18.000,98.000,2.450,2.430,0.290,1.440,4.250,1.120,2.510,1105.000
62,13.230,3.300,2.280,18.500,98.000,1.800,0.830,0.610,1.870,10.520,0.560,1.510,675.000
63,14.220,3.990,2.510,13.200,128.000,3.000,3.040,0.200,2.080,5.100,0.890,3.530,760.000
64,12.290,3.170,2.210,18.000,88.000,2.850,2.990,0.450,2.810,2.300,1.420,2.830,406.000
65,12.850,1.600,2.520,17.800,95.000,2.480,2.370,0.260,1.460,3.930,1.090,3.630,1015.000
66,13.390,1.770,2.620,16.100,93.000,2.850,2.940,0.340,1.450,4.800,0.920,3.220,1195.000
67,13.170,5.190,2.320,22.000,93.000,1.740,0.630,0.610,1.550,7.900,0.600,1.480,725.000
68,13.410,3.840,2.120,18.800,90.000,2.450,2.680,0.270,1.480,4.280,0.910,3.000,1035.000
69,13.050,1.770,2.100,17.000,107.000,3.000,3.000,0.280,2.030,5.040,0.880,3.350,885.000
70,11.810,2.120,2.740,21.500,134.000,1.600,0.990,0.140,1.560,2.500,0.950,2.260,625.000
71,12.000,0.920,2.000,19.000,86.000,2.420,2.260,0.300,1.430,2.500,1.380,3.120,278.000
72,13.050,3.860,2.320,22.500,85.000,1.650,1.590,0.610,1.620,4.800,0.840,2.010,515.000
73,13.170,2.590,2.370,20.000,120.000,1.650,0.680,0.530,1.460,9.300,0.600,1.620,840.000
74,14.340,1.680,2.700,25.000,98.000,2.800,1.310,0.530,2.700,13.000,0.570,1.960,660.000
75,12.870,4.610,2.480,21.500,86.000,1.700,0.650,0.470,0.860,7.650,0.540,1.860,625.000
76,14.020,1.680,2.210,16.000,96.000,2.650,2.330,0.260,1.980,4.700,1.040,3.590,1035.000
77,13.670,1.250,1.920,18.000,94.000,2.100,1.790,0.320,0.730,3.800,1.230,2.460,630.000
78,14.220,1.700,2.300,16.300,118.000,3.200,3.000,0.260,2.030,6.380,0.940,3.310,970.000
79,12.640,1.360,2.020,16.800,100.000,2.020,1.410,0.530,0.620,5.750,0.980,1.590,450.000
80,14.060,1.630,2.280,16.000,126.000,3.000,3.170,0.240,2.100,5.650,1.090,3.710,780.000
81,12.960,3.450,2.350,18.500,106.000,1.390,0.700,0.400,0.940,5.280,0.680,1.750,675.000
82,12.470,1.520,2.200,19.000,162.000,2.500,2.270,0.320,3.280,2.600,1.160,2.630,937.000
83,13.830,1.650,2.600,17.200,94.000,2.450,2.990,0.220,2.290,5.600,1.240,3.370,1265.000
84,12.670,0.980,2.240,18.000,99.000,2.200,1.940,0.300,1.460,2.620,1.230,3.160,450.000
85,12.420,2.550,2.270,22.000,90.000,1.680,1.840,0.660,1.420,2.700,0.860,3.300,315.000
86,12.370,1.070,2.100,18.500,88.000,3.520,3.750,0.240,1.950,4.500,1.040,2.770,660.000
87,13.760,1.530,2.700,19.500,132.000,2.950,2.740,0.500,1.350,5.400,1.250,3.000,1235.000
88,11.410,0.740,2.500,21.000,88.000,2.480,2.010,0.420,1.440,3.080,1.100,2.310,434.000
89,13.490,1.660,2.240,24.000,87.000,1.880,1.840,0.270,1.030,3.740,0.980,2.780,472.000
90,12.850,3.270,2.580,22.000,106.000,1.650,0.600,0.600,0.960,5.580,0.870,2.110,570.000
91,11.560,2.050,3.230,28.500,119.000,3.180,5.080,0.470,1.870,6.000,0.930,3.690,465.000
92,12.600,1.340,1.900,18.500,88.000,1.450,1.360,0.290,1.350,2.450,1.040,2.770,562.000
93,13.290,1.970,2.680,16.800,102.000,3.000,3.230,0.310,1.660,6.000,1.070,2.840,1270.000
94,12.040,4.300,2.380,22.000,80.000,2.100,1.750,0.420,1.350,2.600,0.790,2.570,580.000
95,12.250,3.880,2.200,18.500,112.000,1.380,0.780,0.290,1.140,8.210,0.650,2.000,855.000
96,12.580,1.290,2.100,20.000,103.000,1.480,0.580,0.530,1.400,7.600,0.580,1.550,640.000
97,14.390,1.870,2.450,14.600,96.000,2.500,2.520,0.300,1.980,5.250,1.020,3.580,1290.000
98,14.830,1.640,2.170,14.000,97.000,2.800,2.980,0.290,1.980,5.200,1.080,2.850,1045.000
99,12.510,1.240,2.250,17.500,85.000,2.000,0.580,0.600,1.250,5.450,0.750,1.510,650.000
100,12.080,1.830,2.320,18.500,81.000,1.600,1.500,0.520,1.640,2.400,1.080,2.270,480.000
101,12.370,1.170,1.920,19.600,78.000,2.110,2.000,0.270,1.040,4.680,1.120,3.480,510.000
102,13.680,1.830,2.360,17.200,104.000,2.420,2.690,0.420,1.970,3.840,1.230,2.870,990.000
103,12.860,1.350,2.320,18.000,122.000,1.510,1.250,0.210,0.940,4.100,0.760,1.290,630.000
104,12.290,1.410,1.980,16.000,85.000,2.550,2.500,0.290,1.770,2.900,1.230,2.740,428.000
105,12.000,3.430,2.000,19.000,87.000,2.000,1.640,0.370,1.870,1.280,0.930,3.050,564.000
